,EUR/PLN,USD/PLN,CHF/PLN,EUR/USD,CHF/USD,CAD/PLN,AUD/PLN
2024-01-17,4.3978,4.0434,4.6912,1.0876,1.1602,2.9912,2.6497
2024-01-18,4.4016,4.0437,4.6793,1.0885,1.1572,2.9968,2.654
2024-01-19,4.3846,4.0289,4.6388,1.0883,1.1514,2.992,2.6587
2024-01-22,4.356,3.9972,4.6073,1.0898,1.1526,2.9775,2.6332
2024-01-23,4.3697,4.0133,4.6228,1.0888,1.1519,2.9782,2.6438
2024-01-24,4.3755,4.0131,4.6387,1.0903,1.1559,2.9854,2.6488
2024-01-25,4.379,4.0189,4.6543,1.0896,1.1581,2.9756,2.647
2024-01-26,4.3802,4.0393,4.669,1.0844,1.1559,3.0019,2.6622
2024-01-29,4.3653,4.0326,4.6785,1.0825,1.1602,3.0015,2.6618
2024-01-30,4.3634,4.0301,4.6692,1.0827,1.1586,3.0064,2.6619
2024-01-31,4.3434,4.0135,4.6511,1.0822,1.1589,2.99,2.6421
2024-02-01,4.3247,4.0047,4.6415,1.0799,1.159,2.9784,2.6143
2024-02-02,4.3173,3.9641,4.6291,1.0891,1.1678,2.9653,2.6173
2024-02-05,4.3278,4.0244,4.624,1.0754,1.149,2.984,2.6159
2024-02-06,4.3435,4.0484,4.6378,1.0729,1.1456,2.9913,2.6292
2024-02-07,4.3466,4.0362,4.6322,1.0769,1.1477,2.9961,2.6353
2024-02-08,4.3449,4.0292,4.6166,1.0784,1.1458,2.993,2.623
2024-02-09,4.3167,4.0096,4.5779,1.0766,1.1417,2.9792,2.6088
2024-02-12,4.328,4.0189,4.5906,1.0769,1.1423,2.9847,2.6191
2024-02-13,4.3214,4.0136,4.562,1.0767,1.1366,2.984,2.6155
2024-02-14,4.3435,4.0593,4.5748,1.07,1.127,2.9973,2.6291
2024-02-15,4.3463,4.0495,4.5849,1.0733,1.1322,2.9916,2.6302
2024-02-16,4.3414,4.0325,4.5769,1.0766,1.135,2.9913,2.6304
2024-02-19,4.339,4.0269,4.57,1.0775,1.1349,2.9888,2.6336
2024-02-20,4.3186,3.9994,4.5361,1.0798,1.1342,2.9641,2.6212
2024-02-21,4.3163,3.9966,4.5385,1.08,1.1356,2.9546,2.6192
2024-02-22,4.3199,3.9804,4.5379,1.0853,1.1401,2.9591,2.6203
2024-02-23,4.3326,4.005,4.5427,1.0818,1.1343,2.9674,2.6248
2024-02-26,4.3117,3.9776,4.5208,1.084,1.1366,2.9414,2.604
2024-02-27,4.3067,3.9682,4.5113,1.0853,1.1369,2.941,2.6004
2024-02-28,4.3116,3.9922,4.5292,1.08,1.1345,2.9382,2.5912
2024-02-29,4.319,3.9803,4.5332,1.0851,1.1389,2.93,2.5885
2024-03-01,4.3176,3.9922,4.5099,1.0815,1.1297,2.9398,2.5953
2024-03-04,4.3201,3.982,4.5119,1.0849,1.1331,2.9361,2.5975
2024-03-05,4.3228,3.9838,4.4971,1.0851,1.1288,2.9318,2.5841
2024-03-06,4.3106,3.963,4.4806,1.0877,1.1306,2.9182,2.5858
2024-03-07,4.3045,3.9485,4.4827,1.0902,1.1353,2.9234,2.6048
2024-03-08,4.3079,3.9392,4.4942,1.0936,1.1409,2.9317,2.6175
2024-03-11,4.2933,3.9262,4.4776,1.0935,1.1404,2.9144,2.5986
2024-03-12,4.2804,3.9162,4.4697,1.093,1.1413,2.9066,2.5907
2024-03-13,4.2896,3.9269,4.4686,1.0924,1.1379,2.9108,2.5946
2024-03-14,4.287,3.9183,4.4538,1.0941,1.1367,2.9101,2.5956
2024-03-15,4.2929,3.9392,4.4613,1.0898,1.1325,2.9113,2.5862
