,EUR/PLN,CAD/PLN
2024-01-17,4.3978,2.9912
2024-01-18,4.4016,2.9968
2024-01-19,4.3846,2.992
2024-01-22,4.356,2.9775
2024-01-23,4.3697,2.9782
2024-01-24,4.3755,2.9854
2024-01-25,4.379,2.9756
2024-01-26,4.3802,3.0019
2024-01-29,4.3653,3.0015
2024-01-30,4.3634,3.0064
2024-01-31,4.3434,2.99
2024-02-01,4.3247,2.9784
2024-02-02,4.3173,2.9653
2024-02-05,4.3278,2.984
2024-02-06,4.3435,2.9913
2024-02-07,4.3466,2.9961
2024-02-08,4.3449,2.993
2024-02-09,4.3167,2.9792
2024-02-12,4.328,2.9847
2024-02-13,4.3214,2.984
2024-02-14,4.3435,2.9973
2024-02-15,4.3463,2.9916
2024-02-16,4.3414,2.9913
2024-02-19,4.339,2.9888
2024-02-20,4.3186,2.9641
2024-02-21,4.3163,2.9546
2024-02-22,4.3199,2.9591
2024-02-23,4.3326,2.9674
2024-02-26,4.3117,2.9414
2024-02-27,4.3067,2.941
2024-02-28,4.3116,2.9382
2024-02-29,4.319,2.93
2024-03-01,4.3176,2.9398
2024-03-04,4.3201,2.9361
2024-03-05,4.3228,2.9318
2024-03-06,4.3106,2.9182
2024-03-07,4.3045,2.9234
2024-03-08,4.3079,2.9317
2024-03-11,4.2933,2.9144
2024-03-12,4.2804,2.9066
2024-03-13,4.2896,2.9108
2024-03-14,4.287,2.9101
2024-03-15,4.2929,2.9113
